flavor,size,product_description,ingredients,allergens,servings_per_containter,serving_size,calories_per_serving,calories_per_pint,total_fat_per_serving,total_fat_per_pint,total_fat_daily_value_per_serving,total_fat_daily_value_per_pint,saturated_fat_per_serving,saturated_fat_per_pint,saturated_fat_daily_value_per_serving,saturated_fat_daily_value_per_pint,trans_fat_per_serving,trans_fat_per_pint,trans_fat_daily_value_per_serving,trans_fat_daily_value_per_pint,cholesterol_per_serving,cholesterol_per_pint,cholesterol_daily_value_per_serving,cholesterol_daily_value_per_pint,sodium_per_serving,sodium_per_pint,sodium_daily_value_per_serving,sodium_daily_value_per_pint,total_carbohydrate_per_serving,total_carbohydrate_per_pint,carbohydrate_daily_value_per_serving,carbohydrate_daily_value_per_pint,dietary_fiber_per_serving,dietary_fiber_per_pint,dietary_fiber_daily_value_per_serving,dietary_fiber_daily_value_per_pint,total_sugars_per_serving,total_sugars_per_pint,includes_added_sugars_per_serving,includes_added_sugars_per_pint,daily_value_added_sugars_per_serving,daily_value_added_sugars_per_pint,protein_per_serving,protein_per_pint,protein_daily_value_per_serving,protein_daily_value_per_pint,vitamind_per_serving,vitamind_per_pint,vitamind_daily_value_per_serving,vitamind_daily_value_per_pint,calcium_per_serving,calcium_per_pint,calcium_daily_value_per_serving,calcium_daily_value_per_pint,iron_per_serving,iron_per_pint,iron_daily_value_per_serving,iron_daily_value_per_pint,potassium_per_serving,potassium_per_pint,potassium_daily_value_per_serving,potassium_daily_value_per_pint,vitamin_a,vitamin_a_daily_value_per_serving,category--Ice cream,category-Frozen Custard,category--Sherbert,category--Sorbet,category-Gelato,category-Churned,category--No Fat No Sugar,category--Reduced Fat,category--Gustafson's,category--Yogurt,category--Candy,category--Caramel,category--Chocolate,category--Cookies,category--Coffee ,category--Fruit,category--Fudge,category--Mint,category--Nuts,category--Vanilla
Pineapple Sherbet,3 Gallon,Pineapple Flavored Sherbet,"NONFAT MILK,  SUGAR, WATER, CORN SYRUP,  CREAM, PINEAPPLE PUREE  [PINEAPPLE JUICE  CONCENTRATE, WATER,  PINEAPPLE, CITRIC ACID,  NATURAL AND ARTIFICIAL  FLAVOR, POLYSORBATE 80,  YELLOW 5], PINEAPPLE FLAVOR  [PINEAPPLE JUICE, WATER, GUM  TRAGACANTH, ARTIFICIAL  FLAVOR, CITRIC ACID, YELLOW 5  (COLOR)], WHEY, STABILIZER  [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,  CARRAGEENAN], CITRIC ACID,  YELLOW 5 AND YELLOW 6  (COLOR)",Milk,72,2/3 cup (114g),160,,2g,,3%,,2g,,3%,,0g,,0%,,5mg,,0%,,30mg,,0%,,36g,,0%,,0g,,0%,,28g,,24g,,0%,,1g,,0%,,0mg,,0%,,47mg,,0%,,0mg,,0%,,77mg,,0%,,,,,,x,,,,,,,,,,,,,x,,,,
Rainbow Sherbet,3 Gallon,"Lime, Orange and Raspberry Flavored Sherbets Swirled Together","NONFAT MILK,  SUGAR, WATER, CORN SYRUP,  CREAM, ORANGE PUREE  CONCENTRATE[WATER,ORANGE  JUICE CONCENTRATE, ORANGE  PULP, CORN SYRUP, NATURAL  FLAVOR, YELLOW 6 (COLOR)],  LIME PUREE CONCENTRATE  [WATER, CONCENTRATED LIME  JUICE, ORANGE PULP, CORN  SYRUP, NATURAL FLAVOR,  YELLOW 5 AND BLUE 1 (COLOR),  CITRIC ACID], RASPBERRY PUREE  [HIGH FRUCTOSE CORN SYRUP,  WATER, RASPBERRY PUREE,  CONCENTRATED RASPBERRY  JUICE, NATURAL AND ARTIFICIAL  FLAVORS, MALIC ACID, RED 40  AND BLUE 1 (COLOR)], WHEY,  CITRIC ACID, STABILIZER [GUAR  GUM, MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], RED  RASPBERRY FLAVOR  [RASPBERRY PUREE, SUGAR,  NATURAL FLAVOR WITH OTHER  NATURAL FLAVORS, WATER,  CITRIC ACID, GUM TRAGACANTH,  CARAMEL COLOR, RED 40, BLUE  1, YELLOW 5 & 6, (COLOR)].",Milk,72,2/3 cup (114g),160,,2g,,3%,,1g,,5%,,0g,,0%,,5mg,,0%,,30mg,,0%,,35g,,0%,,0g,,0%,,27g,,25g,,1%,,1g,,0%,,0mg,,0%,,46mg,,0%,,0mg,,0%,,70mg,,0%,,,,,,x,,,,,,,,,,,,,x,,,,
Raspberry Sherbet,3 Gallon,Raspberry Flavored Sherbet,"NONFAT MILK,  SUGAR, WATER, CORN SYRUP,  CREAM,RASPBERRYPUREE  [FRUIT JUICE CONCENTRATE  (RASPBERRY JUICE  CONCENTRATE, PLUM JUICE  CONCENTRATE), WATER, CORN  SYRUP, RASPBERRIES, NATURAL  AND ARTIFICIAL FLAVORS, RED 40  (COLOR)], RASPBERRY PUREE  [HIGH FRUCTOSE CORN SYRUP,  WATER, RASPBERRY PUREE,  CONCENTRATED RASPBERRY  JUICE, NATURALANDARTIFICIAL  FLAVORS, MALIC ACID, RED 40  AND BLUE 1 (COLOR)], WHEY, RED  RASPBERRY FLAVOR BASE  [RASPBERRY PUREE, SUGAR,  NATURAL FLAVOR WITH OTHER  NATURAL FLAVORS, WATER,  CITRIC ACID, GUM TRAGACANTH,  CARAMELCOLOR,RED40AND  BLUE 1 (COLOR)], CITRIC ACID,  STABILIZER [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,  CARRAGEENAN], RED 40 AND  BLUE 1 (COLOR)",Milk,72,2/3 cup (114g),160,,2g,,3%,,1g,,5%,,0g,,0%,,5mg,,0%,,30mg,,0%,,36g,,0%,,0g,,0%,,28g,,25g,,1%,,1g,,0%,,0mg,,0%,,47mg,,0%,,0mg,,0%,,73mg,,0%,,,,,,x,,,,,,,,,,,,,x,,,,
Sunset Rainbow Sherbet,3 Gallon,"Orange, Raspberry and Pineapple Sherbets Swirled Together","NONFAT MILK,  SUGAR, WATER, CORN SYRUP,  CREAM, PINEAPPLE PUREE  [PINEAPPLE JUICE CONCENTRATE,  WATER, PINEAPPLE, CITRIC ACID,  NATURALANDARTIFICIAL FLAVOR,  POLYSORBATE 80, YELLOW 5],  ORANGE PUREE [WATER, ORANGE  JUICE CONCENTRATE, ORANGE  PULP, CORN SYRUP, NATURAL  FLAVOR, YELLOW 6], RASPBERRY  PUREE [HIGH FRUCTOSE CORN  SYRU WATER,RASPBERRY  PUREE,CONCENTRATED  RASPBERRY JUICE, NATURALAND  ARTIFICIAL FLAVORS, MALIC ACID,  RED 40, BLUE 1], WHEY, CITRIC  ACID, STABILIZER [GUAR GUM,  MONO & DIGLYCERIDES, XANTHAN  GUM POLYSORBATE 80,  CARRAGEENAN], PINEAPPLE  FLAVOR [PINEAPPLE JUICE,  WATER, ARTIFICIAL FLAVOR,  CITRIC ACID, YELLOW 5],  RASPBERRYFLAVOR[RASPBERRY  PUREE,SUGAR,NATURALFLAVOR  WITH OTHER NATURAL FLAVORS,  WATER, CITRIC ACID, CARAMEL  COLOR, RED 40 & BLUE 1  (COLOR)], YELLOW 6 (COLOR).",Milk,72,2/3 cup (114g),160,,2g,,3%,,1g,,5%,,0g,,0%,,5mg,,0%,,30mg,,0%,,36g,,0%,,0g,,0%,,28g,,25g,,1%,,1g,,0%,,0mg,,0%,,46mg,,0%,,0mg,,0%,,73mg,,0%,,,,,,x,,,,,,,,,,,,,x,,,,
Watermelon Sherbet,3 Gallon,Watermelon Flavored Sherbet,"NONFAT MILK,  SUGAR, WATER, CORN SYRUP,  CREAM, WATERMELON FLAVOR  [RED 40, ARTIFICIAL FLAVOR,  NATURAL FLAVOR], WHEY,  STABILIZER [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,  CARRAGEENAN], CITRIC ACID,  SEA SALT",Milk,72,2/3 cup (114g),160,,2g,,3%,,1g,,5%,,0g,,0%,,5mg,,0%,,105mg,,0%,,35g,,0%,,0g,,0%,,27g,,25g,,1%,,1g,,0%,,0mg,,0%,,46mg,,0%,,0mg,,0%,,67mg,,0%,,,,,,x,,,,,,,,,,,,,x,,,,
Lemon Sorbet,3 Gallon,Lemon Flavored Sorbet,"WATER, SUGAR,  CORN SYRUP, LEMON BASE  [LEMON JUICE CONCENTRATE,  WATER,SUGAR,NATURAL  FLAVOR], STABILIZER [GUAR GUM,  XANTHAN GUM, LOCUST BEAN  GUM].",,72,2/3 cup (118g),150,,0g,,0%,,0g,,0%,,0g,,0%,,0mg,,0%,,10mg,,0%,,38g,,0%,,0g,,0%,,28g,,27g,,1%,,0g,,0%,,0mg,,0%,,5mg,,0%,,0mg,,0%,,30mg,,0%,,,,,,,x,,,,,,,,,,,,x,,,,
Mango Sorbet,3 Gallon,Mango Flavored Sorbet,"WATER, SUGAR,  CORN SYRUP, MANGO BASE  [MANGO, SUGAR, WATER,  PASSION FRUIT JUICE  CONCENTRATE, LEMON JUICE  CONCENTRATE,NATURAL  FLAVOR, ANNATTO (COLOR),  TURMERIC (COLOR)], STABILIZER  [GUAR GUM, XANTHAN GUM,  LOCUST BEAN GUM].",,72,2/3 cup (116g),140,,0g,,0%,,0g,,0%,,0g,,0%,,0mg,,0%,,10mg,,0%,,35g,,0%,,0g,,0%,,27g,,27g,,1%,,0g,,0%,,0mg,,0%,,3mg,,0%,,0mg,,0%,,6mg,,0%,,,,,,,x,,,,,,,,,,,,x,,,,
Raspberry Sorbet,3 Gallon,Raspberry Flavored Sorbet,"WATER, SUGAR,  CORN SYRUP, RASPBERRY BASE  [RASPBERRIES, WATER, SUGAR,  CITRIC ACID, VEGETABLE JUICE  (COLOR), PECTIN, NATURAL  FLAVOR], RASPBERRY FLAVOR  [RASPBERRY PUREE, SUGAR,  NATURAL FLAVOR, WATER, CITRIC  ACID, GUM TRAGACANTH,  CARAMEL COLOR. RED 40, BLUE 1  (COLOR)], STABILIZER [GUAR  GUM, XANTHAN GUM, LOCUST  BEAN GUM].",,72,2/3 cup (118g),140,,0g,,0%,,0g,,0%,,0g,,0%,,0mg,,0%,,10mg,,0%,,36g,,0%,,0g,,0%,,28g,,0g,,1%,,0g,,0%,,0mg,,0%,,0mg,,0%,,0mg,,0%,,0mg,,0%,,,,,,,x,,,,,,,,,,,,x,,,,
Chocolate Yogurt,3 Gallon,Chocolate Flavored Yogurt,"NONFAT MILK,  BUTTERMILK, SUGAR, CORN  SYRUP, COCOA PROCESSED WITH  ALKALI, CREAM, WHEY,  STABILIZER [GUAR GUM, MONO  AND DIGLYCERIDES, XANTHAN  GUM, POLYSORBATE 80,  CARRAGEENAN]. FLAVOR [LACTIC  ACID, VINEGAR, NATURAL  FLAVOR]. SEASALT, YOGURT  CULTURES. ",Milk,72,2/3 cup (95g),150,,3g,,4%,,2g,,10%,,0g,,0%,,10mg,,0%,,90mg,,0%,,26g,,0%,,1g,,0%,,20g,,0g,,0%,,0g,,0%,,0mg,,0%,,2mg,,0%,,0mg,,0%,,0mg,,0%,,,,,,,,,,,,,x,,,x,,,,,,,
Peach Melba Yogurt,3 Gallon,Peach Flavored Yogurt with Peach Pieces & a Rasberry Swirl,"NONFAT MILK,  BUTTERMILK, SUGAR, PEACHES  [PEACHES, SUGAR, SODIUM  ALGINATE, LOCUST BEAN GUM,  ASCORBIC ACID, ANNATTO  COLOR, MALICACID, NATURAL  FLAVOR], RASPBERRY SWIRL  [CORN SYRUP, RASPBERRY  PUREE, SUGAR, HIGH FRUCTOSE  CORN SYRUP, WATER, PECTIN,  MALIC ACID, LOCUST BEAN GUM,  NATURAL FALVOR, CITRIC ACID,  CALCIUM LACTATE, SODIUM  CITRATE], CORN SYRUP, CREAM,  WHEY, STABILIZER [GUAR GUM,  MONO AND DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN],  MALTODEXTRIN, PEACH FLAVOR  [ANNATTO COLOR, NATURAL  FLAVOR, CARAMEL COLOR],  YOGURT FLAVOR [LACTIC ACID,  VINEGAR, NATURAL FLAVOR],  YOGURT CULTURES. ",Milk,72,2/3 cup (106g),170,,2.5g,,3%,,2g,,10%,,0g,,0%,,10mg,,0%,,95mg,,0%,,32g,,0%,,1g,,0%,,27g,,0g,,0%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,,,,,,,,,,x,,,,,,x,,,,
